Time,Temperature,Pressure,Sound,Light,Pressure,Humidity,Comment
s,°C,kPa,dBA,lx,kPa,%RH,

110.4,12.4,99.5,41.0,1000,100.38,35.4,
111.36,12.4,99.5,40.0,1000,100.38,35.4,
112.32,12.5,99.5,65.7,1000,100.36,35.4,
113.28,12.5,99.5,63.1,1000,100.36,35.4,
114.24,12.5,99.5,75.9,1000,100.40,35.4,
115.2,12.4,99.5,68.6,1000,100.35,35.4,
116.16,12.4,99.5,42.8,975,100.37,35.4,
117.12,12.4,99.5,43.1,951,100.37,35.4,
118.08,12.4,99.5,78.7,980,100.36,35.4,
119.04,12.4,99.5,64.4,1000,100.37,35.4,
120,12.4,99.5,43.4,1000,100.38,35.4,
120.96,12.4,99.5,80.2,1000,100.38,35.3,
121.92,12.4,99.5,74.6,715,100.39,35.3,
122.88,12.4,99.5,68.9,569,100.38,35.3,
123.84,12.4,99.5,71.3,580,100.36,35.3,
124.8,12.4,99.5,70.3,601,100.39,35.3,
125.76,12.4,99.5,53.1,596,100.37,35.3,
126.72,12.4,99.5,40.5,589,100.35,35.3,
127.68,12.4,99.5,58.8,581,100.36,35.3,
128.64,12.4,99.5,75.0,576,100.39,35.3,
129.6,12.4,99.5,58.0,564,100.39,35.3,
130.56,12.4,99.5,45.0,597,100.37,35.3,
131.52,12.4,99.9,79.3,605,100.33,35.3,
132.48,12.4,99.7,42.1,861,100.39,35.3,
133.44,12.4,99.5,67.6,949,100.37,35.3,
134.4,12.4,99.9,73.3,853,100.38,35.3,
135.36,12.4,100.1,40.0,812,100.37,35.2,
136.32,12.4,100.1,73.5,798,100.36,35.2,
137.28,12.4,100.1,51.4,704,100.39,35.2,
138.24,12.4,100.1,65.9,577,100.36,35.2,
139.2,12.4,100.1,40.0,765,100.37,35.1,
140.16,12.4,99.9,66.2,787,100.36,35.0,
141.12,12.4,100.1,64.9,790,100.37,34.9,
142.08,12.4,100.1,76.3,798,100.39,34.9,
143.04,12.4,100.1,76.7,1000,100.38,34.9,
144,12.4,100.1,61.8,1000,100.37,34.9,
144.96,12.4,100.1,64.7,1000,100.40,34.9,
145.92,12.4,100.1,81.9,1000,100.38,34.9,
146.88,12.4,100.1,67.1,1000,100.38,34.9,
147.84,12.4,100.1,59.9,1000,100.36,34.9,
148.8,12.4,100.1,65.5,1000,100.40,35.0,
149.76,12.4,100.1,63.6,1000,100.37,35.0,
150.72,12.4,100.1,49.6,863,100.34,35.0,
151.68,12.4,100.1,68.7,993,100.37,35.0,
152.64,12.4,100.1,65.8,1000,100.36,35.1,
153.6,12.4,100.1,75.0,1000,100.34,35.1,
154.56,12.5,100.1,71.9,1000,100.38,35.1,
155.52,12.6,100.3,51.9,1000,100.36,35.2,
156.48,12.8,100.1,70.9,1000,100.38,35.2,
157.44,12.9,100.3,40.6,1000,100.35,35.2,
158.4,13.1,100.1,40.0,1000,100.37,35.2,
159.36,13.3,100.3,40.0,1000,100.35,35.2,
160.32,13.5,100.3,65.5,1000,100.34,35.2,
161.28,13.6,100.3,48.2,1000,100.37,35.2,
162.24,13.8,100.3,52.0,1000,100.36,35.1,
163.2,13.9,100.3,64.8,1000,100.35,35.1,
164.16,14.1,100.3,71.1,940,100.35,35.0,
165.12,14.2,100.3,71.0,891,100.39,35.0,
166.08,14.3,100.3,81.5,855,100.37,35.0,
